,Business Name,Full Address,Latitude,Longitude,RegisteredAcres,geometry,index_right,NAME
27,American,361 Walsh Avenue New Windsor NY 12533 ,41.4883095,-74.0133781,30.0,POINT (-74.0133781 41.4883095),35,Orange
60,Black Dirt Canna,543 County Route 62 Westtown NY 10998 ,41.336761,-74.5398821,30.0,POINT (-74.5398821 41.336761),35,Orange
65,Blue Sky Polo Club Realty Holding LLC,380 Bart Bull Rd Middletown NY 10941 ,41.466902,-74.289396,361.0,POINT (-74.289396 41.466902),35,Orange
77,Brian Pawelski Farm,272A Union Street Montgomery NY 12549 ,41.5123304,-74.2527109,45.0,POINT (-74.2527109 41.5123304),35,Orange
84,C Madura Farm B Corp.,54 Rudinski Ln Pine Island NY 10969 ,41.2914995,-74.4971572,250.0,POINT (-74.4971572 41.2914995),35,Orange
122,Coal Tree Farm LLC,PO Box 247 Westtown NY 10998 ,41.336761,-74.5398821,34.0,POINT (-74.5398821 41.336761),35,Orange
146,Davandjer Farms,35 Davandjer Ln Pine Island NY 10973 ,41.2946184,-74.4901063,75.0,POINT (-74.4901063 41.2946184),35,Orange
189,Eretz Goshen Farms Inc.,71 Dzierzek Lane New Hampton NY 10958 ,41.3904752,-74.3834199,60.0,POINT (-74.3834199 41.3904752),35,Orange
191,ERP Farms LLC,1628 Route 211 E Middletown NY 10941 ,41.4773349,-74.309125,41.0,POINT (-74.309125 41.4773349),35,Orange
224,Frankie's Produce Farm Inc.,77 Skinner Lane Goshen NY 10924 ,41.323214,-74.4372331,67.0,POINT (-74.4372331 41.323214),35,Orange
251,God's Flower LLC (DBA Hemp Farms of New York),320 Mount Airy Road New Windsor NY 12553 ,41.4694754,-74.0969499,650.0,POINT (-74.0969499 41.4694754),35,Orange
257,Gordon Hasbrouck Estate/Farm,641 Mt. Orange Rd Middletown NY 10940 ,41.411795,-74.517787,36.0,POINT (-74.517787 41.411795),35,Orange
294,Harvest Queen Farms,145 Big Island Road Warwick NY 13408 ,41.3029198,-74.4048595,30.0,POINT (-74.4048595 41.3029198),35,Orange
451,M&M Produce Farms & Sales LLC,401 Pulaski Highway Goshen NY 10924 ,41.3182451,-74.4416629,45.0,POINT (-74.4416629 41.3182451),35,Orange
453,M3 Agri Ventures LLC,PO Box 603 Pine Island NY 10969 ,41.2978722,-74.459324,157.0,POINT (-74.459324 41.2978722),35,Orange
529,NY Hemp Source LLC Affiliated Grower - S&SO Produce Farms LLC,234 Mt. Eve Road Goshen NY 13408 ,41.3162042,-74.4145707,21.0,POINT (-74.4145707 41.3162042),35,Orange
569,PhytoGene Bioscience LLC Affiliated Grower - Top Bud Inc.,21 Sturr Lane Florida NY 13408 ,41.3250624,-74.3644519,34.0,POINT (-74.3644519 41.3250624),35,Orange
595,R & G Produce LLC,16 Van Sickle Road Goshen NY 10924 ,41.3177326,-74.4434948,144.0,POINT (-74.4434948 41.3177326),35,Orange
634,S&SO Produce Farms LLC,234 Mt. Eve Road Goshen NY 10924 ,41.3162042,-74.4145707,52.0,POINT (-74.4145707 41.3162042),35,Orange
652,Shepherd Farms LLC,135 Walling Rd Warwick NY 10990 ,41.261348,-74.439736,30.0,POINT (-74.439736 41.261348),35,Orange
681,Steven Bogdanski,205 Bogdanski Ln Pine Island NY 10969 ,41.298264,-74.492341,61.0,POINT (-74.492341 41.298264),35,Orange
720,Top Bud Inc.,21 Sturr Lane Florida NY 10921 ,41.3250624,-74.3644519,425.0,POINT (-74.3644519 41.3250624),35,Orange
