Business Name,Address,City,State,Zip Code,Full Address,Latitude,Longitude,Registered* Indoor (square feet),Registered* Outdoor (acres),Planted* Indoor (sqft),Planted* Outdoor (acres)
SUNY Morrisville,80 Eaton Street,Morrisville,NY,13408,80 Eaton Street Morrisville NY 13408 ,42.8944699,-75.6454025,,200.00,,
Cornell University,373 Pine Tree Road,Ithaca,NY,13408,373 Pine Tree Road Ithaca NY 13408 ,42.4381080,-76.4625730,"1,500.00",30.00,,
Binghamton University,4400 Vestal Parkway East,Binghamton,NY,13408,4400 Vestal Parkway East Binghamton NY 13408 ,42.0874939,-75.9658689,,0.00,,
Sullivan Community College - SUNY Sullivan,112 College Road,Loch Sheldrake,NY,13408,112 College Road Loch Sheldrake NY 13408 ,41.7727999,-74.6669600,,1.00,,
21st Century Hemp LLC,680 North Road #3,Scottsville,NY,13408,680 North Road #3 Scottsville NY 13408 ,43.0290002,-77.7548277,480.00,10.00,,
JD Pinnacle Holdings dba JD Farms,4337 Lebanon Road,Eaton,NY,13408,4337 Lebanon Road Eaton NY 13408 ,42.7889890,-75.7095530,"4,000.00",80.00,"4,000.00",78.00
Plant Science Laboratories,649 Wyoming Avenue,Buffalo,NY,13408,649 Wyoming Avenue Buffalo NY 13408 ,42.9326052,-78.8239646,,23.00,,
Old Mud Creek Farm LLC,67 Pine Wood Road,Hudson,NY,13408,67 Pine Wood Road Hudson NY 13408 ,42.2528649,-73.7909590,,68.70,,10.14
New York Hemp LLC,442 Big Island Road,Goshen,NY,13408,442 Big Island Road Goshen NY 13408 ,41.3285012,-74.4028775,,20.00,,
PreProcess Inc.,6190 Yardley Lane,San Ramon,CA,13408,6190 Yardley Lane San Ramon CA 13408 ,37.7505722,-121.8979051,,16.00,,
Farm Fresh First,40 Stevens Street,Oakfield,NY,13408,40 Stevens Street Oakfield NY 13408 ,43.0633111,-78.2751107,,459.00,,
Weiss Farms,7828 East Eden Road,Eden,NY,13408,7828 East Eden Road Eden NY 13408 ,42.6723110,-78.8311150,,64.00,,8.00
Donald Spoth Farm and Greenhouses,2715 Tonawanda Creek Road,Amherst,NY,13408,2715 Tonawanda Creek Road Amherst NY 13408 ,43.0681581,-78.7496355,"45,360.00",85.00,,5.00
Jay Stucky dba Berkshire Hemp,2539 Vineyard Road,Romulus,NY,13408,2539 Vineyard Road Romulus NY 13408 ,42.7386729,-76.8009196,,56.00,,
Agricultural Development Services LLC,"370 Summit Point Drive, Suite 1A",Henrietta,NY,13408,"370 Summit Point Drive, Suite 1A Henrietta NY 13408 ",43.0547297,-77.6487294,"69,340.00","3,115.00",,654.80
Edgewood Farms,5064 Wilson Road,Groveland,NY,13408,5064 Wilson Road Groveland NY 13408 ,42.6925690,-77.7424190,,0.00,,
Harvest Queen Farms,145 Big Island Road,Warwick,NY,13408,145 Big Island Road Warwick NY 13408 ,41.3029198,-74.4048595,,30.00,,
Valley View,25 Derrick Lane,Walden,NY,13408,25 Derrick Lane Walden NY 13408 ,41.5577408,-74.2038865,,0.00,,
Eden Agricultural Resources,3940 Hardt Road,Eden,NY,13408,3940 Hardt Road Eden NY 13408 ,42.6672328,-78.8396579,,59.00,,
Gene Reed Dairy Farm,2423 Reservoir Road,New Woodstock,NY,13408,2423 Reservoir Road New Woodstock NY 13408 ,42.8398700,-75.8941660,,0.00,,
DuMond Ag LLC,5083 White Road,Union Springs,NY,13408,5083 White Road Union Springs NY 13408 ,42.8639584,-76.6092966,,69.00,,
22nd Century Group Inc.,"8560 Main Street, Suite 4",Williamsville,NY,13408,"8560 Main Street, Suite 4 Williamsville NY 13408 ",42.9639470,-78.7378091,0.00,,,
Main Street Farms,3320 State Route 215,Cortland,NY,13408,3320 State Route 215 Cortland NY 13408 ,42.5678887,-76.1928413,"51,500.00",73.00,29.00,41.30
Liburdi Industries Inc.,59 Court Street,Binghamton,NY,13408,59 Court Street Binghamton NY 13408 ,42.0990360,-75.9127080,0.00,,,
Hi-Y Farms,6408 Bedient Hill Road,Salamanca,NY,13408,6408 Bedient Hill Road Salamanca NY 13408 ,42.2768350,-78.7731869,"3,000.00",70.00,,18.00
Agbotic Inc.,18135 County Route 75,Sackets Harbor,NY,13408,18135 County Route 75 Sackets Harbor NY 13408 ,43.9461707,-76.1190929,"15,000.00",0.00,"1,598.00",
Projics,245 Easton Station Road,Greenwich,NY,13408,245 Easton Station Road Greenwich NY 13408 ,43.0423696,-73.5004651,,16.00,,
Farm In Peace,3380 Route 39,Collins,NY,13408,3380 Route 39 Collins NY 13408 ,42.4944432,-78.8629673,,17.00,,2.00
Winter Thorn Farm,359 Port Road,Binghamton,NY,13408,359 Port Road Binghamton NY 13408 ,42.2118940,-75.8791990,,0.00,,
Winter Thorn Farm Aﬃliated Grower - Julie Ann's Vegetable & Honey Farm,89 Frost Road,Windsor,NY,13408,89 Frost Road Windsor NY 13408 ,42.0873070,-75.7698640,,0.00,,
High End Group LLC,71-73 N Railroad Ave,Spencer,NY,13408,71-73 N Railroad Ave Spencer NY 13408 ,42.2112519,-76.5021270,"20,200.00",,200.00,
High End Group Affiliated Grower - Grains Alive Organics,226 Albee Hill Road,VanEtten,NY,13408,226 Albee Hill Road VanEtten NY 13408 ,42.1768810,-76.5816300,,3.00,,
High End Group Affiliated Grower - Trinity Acres Farm,118 Stafford Road,Oxford,NY,13408,118 Stafford Road Oxford NY 13408 ,42.4556130,-75.6177480,,7.00,,
Steuben Foods,1150 Maple Road,Elma,NY,13408,1150 Maple Road Elma NY 13408 ,42.8020632,-78.6292347,,0.00,,
Nightshade Farm,686 Fox Creek Road,Medusa,NY,13408,686 Fox Creek Road Medusa NY 13408 ,42.4632950,-74.1688040,"7,260.00",15.00,"1,440.00",5.00
Robert Windsor Farms LLC,18 Roberts Rd,Windsor,NY,13408,18 Roberts Rd Windsor NY 13408 ,42.0897732,-75.7408058,,134.00,,
Edmond Shabo,945 McClellan Road,DeRuyter,NY,13408,945 McClellan Road DeRuyter NY 13408 ,42.7684971,-75.8485095,,10.00,,20.00
BAAR Scientific LLC,6374 State Route 89,Romulus,NY,13408,6374 State Route 89 Romulus NY 13408 ,42.7158192,-76.7611979,,2.00,,
"Sarah Anne Gill, Ph.D",237 Jackson Valley Road,Amsterdam,NY,13408,237 Jackson Valley Road Amsterdam NY 13408 ,43.0307220,-74.1332060,,13.00,,
NY Hemp Source LLC - NOT VAILD AUTH #,"445 5th Avenue, Suite 9",New York,NY,13408,"445 5th Avenue, Suite 9 New York NY 13408 ",40.7515948,-73.9817548,,0.00,,
Hibernia Farm LLC,64 Middle Neck Road,Port Washington,NY,13408,64 Middle Neck Road Port Washington NY 13408 ,40.8499623,-73.6912139,,2.00,,
WhatCannaDo,P.O. Box 108,Gilbertsville,NY,13408,P.O. Box 108 Gilbertsville NY 13408 ,42.4714657,-75.3257290,,13.00,,
WhatCannaDo Affiliated Grower - Keith Klingman,284 Clarence Musson Road,Gilbertsville,NY,13408,284 Clarence Musson Road Gilbertsville NY 13408 ,42.4829830,-75.2965560,,4.00,,
Pleasant View Harvest LLC,4 West Wind Lane,Brewster,NY,13408,4 West Wind Lane Brewster NY 13408 ,41.3638444,-73.6016462,0.00,,"1,600.00",
Scotch Valley Ranch,476 Scotch Valley Ranch Road,Hobart,NY,13408,476 Scotch Valley Ranch Road Hobart NY 13408 ,42.3339487,-74.6425063,"56,770.00",30.00,,3.00
